session_id,total,consent,refresh
6949e5f8bac0c6b9e029117e,2:30,0:03,0:02
6949e606941782280a508a84,2:13,0:06,0:03
6949e627f3018838ac362518,1:54,0:03,0:02
6949e58c774b684020c12ac3,2:56,0:13,0:06
6949e665672cf680e9b55b67,3:05,0:23,0:03
6949e643b535b0cd4604d05b,2:11,0:01,0:00
6949e62b89526265a4ea2229,2:14,0:03,0:06
6949e68369aebfb69de3c194,1:56,0:03,0:01
6949e68e1c5ca1434297f6c2,2:39,0:07,0:05
6949e64a66e7088cbda42f58,3:47,0:24,0:14
6949e66b97a4b5deec8cb81e,2:55,1:26,0:01
6949e668fb60eb4c9c944e09,1:49,0:02,0:02
6949e65ed66ffbfe38051d4f,2:01,0:02,0:05
6949e67422419ecb6012189c,2:13,0:03,0:02
6949e69312d83b907e2f7575,2:47,0:02,0:03
6949e6c235fe5e25c2acda8f,N/A,0:04,0:02
6949e6ca165c8a8c5623fe09,N/A,,
6949e6c03ed41e09af771823,1:51,0:01,0:01
6949e6acd77370dcfcfd63e2,1:59,0:05,0:01
6949e6c9b7ba52e9643e1937,2:29,0:01,0:03
6949e6f4c01edce9abd8e1e8,2:35,0:02,0:02
6949e71f7ecf0f0fc2c27655,2:57,0:11,0:03
6949e6b4e96e03741294595d,1:54,0:01,0:02
6949e729c588e788594d77f2,1:51,0:03,0:04
6949e74772430917997ac8df,2:48,0:03,0:03
6949e6d5e2d67e88ca20a586,2:15,0:01,0:02
6949e6f2db518cc61031bcf1,2:17,0:02,0:02
6949e77213bc6ba745013d22,2:14,0:06,0:02
6949e79547617418bbbdfd24,N/A,,
6949e713dfc40630b7cfe065,1:57,0:01,0:03
6949e725de80a13f6431bcd1,2:58,0:02,0:01
6949e751660d4e6ba07b61d1,1:47,0:02,0:03
6949e758bac0c6b9e02911be,1:56,0:04,0:01
6949e797660d4e6ba07b6230,1:39,0:01,0:02
6949e7b0c103f05038d9bdaa,2:40,0:03,0:02
6949e7ac978528f59e1f469f,2:02,0:01,0:02
6949e7b33ed41e09af771845,3:06,0:05,0:05
6949e7dac673ace6ea122b98,1:57,0:01,0:01
6949e7cb243cf086177b73a4,2:41,0:05,0:04
6949e7f69d30eaeaff2bea32,2:20,0:12,0:02
6949e7a3941782280a508a9d,N/A,,
6949e82626e40678f4ddae2b,N/A,,
6949e7c9ca0cf5f2dc26ed14,2:20,0:02,0:04
6949e7cd465574915021b40d,1:53,0:02,0:04
6949e7fd0614ae55852360fc,4:46,0:08,0:06
6949e814c2e1b3ded54da80d,3:38,0:08,0:04
6949e82bc8ab5c2c8e240281,1:55,0:01,0:02
