session_id,total,consent
696911d306a46b84acc9cac2,2:49,0:15
696911d3ffe3cb8885a2d82f,2:16,0:04
6969122bfa2e550e600e4e74,3:16,0:29
6969122c8460dfc264bf6567,2:01,0:03
6969122d824d3c2083b99fdd,3:03,0:31
69691232050333a07c9dd9a4,2:51,0:03
696912345440df575745aaab,2:36,0:03
69691236f5bfe29e8a4dfcef,2:00,0:06
6969123da4bc6546ce3ce11d,2:45,0:08
69691245e2b477011280eaa7,N/A,0:25
6969123ee7c9e9e4f6c97eea,2:21,0:07
696912746ad31bdc731a4226,N/A,
6969126b98d89ca4fcee6d95,3:06,0:08
696912718fee12721670c402,2:38,0:03
696912a3b1c500a317e781c8,3:17,0:06
696912aa674ec8b5f554e74d,N/A,
696912a3e42023e2f839b895,2:06,0:03
696912bbbfc83fcee7a44561,N/A,
696912afacb6984bd95e6a2c,2:26,0:07
696912bf1cc706a65dd4f711,2:21,0:16
696912ca4460882ad09cbe83,4:20,0:12
696912c5ebf6f0e3a6c97ff4,2:02,0:04
696912ea36a758e55e1c4d44,1:50,0:04
69691327f5664f07997eb271,2:07,0:36
6969132bda6cdf7dc1a1da60,2:19,0:08
6969132cb914e0eb812ee9b4,0:00,
696913365c5c3678410f1011,0:54,0:26
69691354e5093904e8c1a0b9,4:08,0:18
69691366b6624befc2005e29,2:14,0:05
696913a6e3a251ce67af9614,2:41,0:46
696913bdd8f8226a5978c474,1:46,0:06
696913d1e8d4c0e0c4c93bc3,4:05,1:24
696913b8ea81ea465cb57e7e,3:44,0:43
696914128a0d45b04f64657b,2:05,0:03
6969141298a299973132e8c6,2:01,0:08
6969143306ec7d0b31075990,2:25,0:09
69691488a05617a512800d45,N/A,
69691436096ab128f3d71021,2:21,0:18
696914a3df160c74b7bb0aa7,2:15,0:10
6969143882409a6208fc6b17,3:04,0:08
6969148fcb8cc458101c13ec,2:24,0:14
696914fec098a74fc31309ee,0:19,0:04
696914f82ee325001ec16d7e,3:01,0:06
696914fff2e9d793f57139b8,N/A,
69691503951a2ffd9bd70a8f,1:56,0:04
696915084cfc67eb8b481e6a,2:21,0:03
696915f457baf1a883355492,2:49,0:13
696916751ce1f6ea08a88bfd,2:00,0:05
69691581e7c9e9e4f6c97f4f,3:19,0:31
696916525440df575745ab06,2:25,0:03
6969168cf5946f8abf8bb25c,N/A,0:05
6969179b777d5c51c5571184,N/A,0:03
696918c45440df575745ab47,N/A,
69691789a23bcf4577ffebf4,3:30,0:11
696916d9786fe96f97a3df00,2:45,0:07
696917e4f378bd8afaa48f8b,3:07,0:15
69691864971b7695a05a58c0,6:31,3:07
696918c5e72c3899f276d8b2,2:50,0:27
696918d05422b0195bb9a52b,4:07,0:35
696918d63f5807ae4553b9ff,17:05,0:34
6969193e45677efbce1b9bf8,2:21,0:06
69691944dc9e5c8bb66eb4aa,2:48,0:08
69691a33512ea720165f1e76,2:04,0:04
69691addb109dc23d79e1186,2:02,0:03
69691bae9ac6fc967ff3813d,N/A,
69691c81d3fb2a3ffa76d37e,0:26,0:08
69691d9306a46b84acc9cfc0,2:25,0:08
69691dd3e576836922d8ab13,2:14,0:12
69691d0b46785d3fa6803bd1,3:04,0:38
6969213f4ebe46fe80c8262c,2:42,0:07
6969214987749a8fc17219b4,N/A,0:08
696921eb2c348f06aa817cfc,2:24,0:14
69692457ee07031ce40ee8f6,3:16,0:16
